title,author,language,publish_date,isbn,asin,description,internal_details,series,settings,characters,awards,formats
The History of Tom Jones a Foundling,Henry Fielding,English,04/12/23,,,"Fielding's picaresque masterpiece follows its good-hearted but fallible hero through 18th century England on a journey filled with misadventures, mistaken identities, and moral education.","Fielding's picaresque masterpiece follows its good-hearted but fallible hero through 18th century England on a journey filled with misadventures, mistaken identities, and moral education.",,"England, 1745","Tom Jones,Sophia Western",,digital
The Hound of the Baskervilles,Arthur Conan Doyle,English,04/12/23,,,Sherlock Holmes confronts a family curse and a mysterious spectral hound on the fog-shrouded moors in Conan Doyle's most atmospheric and beloved detective adventure.,Sherlock Holmes confronts a family curse and a mysterious spectral hound on the fog-shrouded moors in Conan Doyle's most atmospheric and beloved detective adventure.,,"Dartmoor, England, late Victorian era","Sherlock Holmes,Dr. Watson",,digital
The House of Mirth,Edith Wharton,English,04/12/23,,,"Wharton's brilliant tragedy follows beautiful Lily Bart's descent from social heights as she navigates the treacherous waters of New York society, unable to reconcile her desires with convention.","Wharton's brilliant tragedy follows beautiful Lily Bart's descent from social heights as she navigates the treacherous waters of New York society, unable to reconcile her desires with convention.",,"New York high society, early 20th century","Lily Bart,Lawrence Selden",,digital
The Hunchback of Notre-Dame,Victor Hugo,French,04/12/23,,,"Hugo's gothic masterpiece set in 15th century Paris weaves the fate of a beautiful gypsy, a tormented bell-ringer, and a lustful archdeacon against the backdrop of the magnificent cathedral.","Hugo's gothic masterpiece set in 15th century Paris weaves the fate of a beautiful gypsy, a tormented bell-ringer, and a lustful archdeacon against the backdrop of the magnificent cathedral.",,"Paris, 1482","Quasimodo,Esmeralda",,digital
The Idiot,Fyodor Dostoevsky,Russian,04/12/23,,,"Dostoevsky's profound exploration of goodness follows Prince Myshkin, a Christ-like epileptic, whose innocence and compassion make him an ""idiot"" in a corrupt society that ultimately destroys him.","Dostoevsky's profound exploration of goodness follows Prince Myshkin, a Christ-like epileptic, whose innocence and compassion make him an ""idiot"" in a corrupt society that ultimately destroys him.",,"St. Petersburg, Russia, mid-19th century","Prince Myshkin,Nastasya Filippovna",,digital
The Illegitimate Son,Alexandre Dumas fils,French,04/12/23,,,Dumas fils draws on personal experience in this novel about a young man raised without his father's name who struggles to find his place in a society that stigmatizes illegitimacy.,Dumas fils draws on personal experience in this novel about a young man raised without his father's name who struggles to find his place in a society that stigmatizes illegitimacy.,,"France, early 19th century","Jules Larivière,Brunon",,digital
The Immoralist,André Gide,French,04/12/23,,,"Gide's groundbreaking novel follows a young scholar who discovers sensual freedom during recovery from tuberculosis, abandoning conventional morality with increasingly disturbing consequences.","Gide's groundbreaking novel follows a young scholar who discovers sensual freedom during recovery from tuberculosis, abandoning conventional morality with increasingly disturbing consequences.",,"North Africa and Normandy, late 19th century","Michel,Marceline",,digital
The Importance of Being Earnest,Oscar Wilde,English,04/12/23,,,Wilde's sparkling comedy of manners skewers Victorian social conventions through the story of two friends who both pretend to be named Ernest to escape social obligations.,Wilde's sparkling comedy of manners skewers Victorian social conventions through the story of two friends who both pretend to be named Ernest to escape social obligations.,,"London and countryside, Victorian era","Jack Worthing,Algernon Moncrieff",,digital
The Indiscreet Jewels,Denis Diderot,French,04/12/23,,,"Diderot's satirical novel features a magic ring that makes women's genitals speak truthfully about their sexual histories, creating a daring critique of social hypocrisy and sexual politics.","Diderot's satirical novel features a magic ring that makes women's genitals speak truthfully about their sexual histories, creating a daring critique of social hypocrisy and sexual politics.",,"Fictional Congo (allegorical France), 18th century","Sultan Mangogul,Mirzoza",,digital
The Invisible Man,H.G. Wells,English,04/12/23,,,Wells' classic science fiction novel follows a scientist who discovers the secret of invisibility but descends into madness and criminality when he cannot reverse the process.,Wells' classic science fiction novel follows a scientist who discovers the secret of invisibility but descends into madness and criminality when he cannot reverse the process.,,"English village of Iping, 1890s",Griffin,,digital
The Iron Heel,Jack London,English,04/12/23,,,"Jack London's prophetic dystopian novel depicts the rise of an oligarchic tyranny in America and the ensuing revolutionary movement, creating one of the earliest works of modern dystopian fiction.","Jack London's prophetic dystopian novel depicts the rise of an oligarchic tyranny in America and the ensuing revolutionary movement, creating one of the earliest works of modern dystopian fiction.",,"United States, dystopian future (1912-1932)","Ernest Everhard,Avis Everhard",,digital
The Island of Doctor Moreau,H.G. Wells,English,04/12/23,,,"Wells' disturbing science fiction novel follows a shipwrecked man who discovers an island where a mad scientist creates human-animal hybrids, raising profound questions about human nature and ethics.","Wells' disturbing science fiction novel follows a shipwrecked man who discovers an island where a mad scientist creates human-animal hybrids, raising profound questions about human nature and ethics.",,"South Pacific island, late 19th century","Edward Prendick,Dr. Moreau",,digital
The Italian,Ann Radcliffe,English,04/12/23,,,"Radcliffe's Gothic masterpiece follows the star-crossed romance between a nobleman and a young woman of mysterious birth, pursued by the sinister monk Schedoni through atmospheric Italian landscapes.","Radcliffe's Gothic masterpiece follows the star-crossed romance between a nobleman and a young woman of mysterious birth, pursued by the sinister monk Schedoni through atmospheric Italian landscapes.",,"Italy, late 18th century","Vincentio di Vivaldi,Ellena di Rosalba",,digital
The Jew of Malta,Christopher Marlowe,English,04/12/23,,,"Marlowe's controversial drama follows the revenge of Barabas after Christian authorities seize his wealth, creating a complex villain who exposes the hypocrisy of a supposedly Christian society.","Marlowe's controversial drama follows the revenge of Barabas after Christian authorities seize his wealth, creating a complex villain who exposes the hypocrisy of a supposedly Christian society.",,"Malta, 16th century",Barabas,,digital
The Jungle,Upton Sinclair,English,04/12/23,,,Sinclair's muckraking novel exposes the brutal working conditions and unsanitary practices of the Chicago meatpacking industry through the struggles of a Lithuanian immigrant family seeking the American Dream.,Sinclair's muckraking novel exposes the brutal working conditions and unsanitary practices of the Chicago meatpacking industry through the struggles of a Lithuanian immigrant family seeking the American Dream.,,"Chicago meatpacking district, early 20th century","Jurgis Rudkus,Ona Lukoszaite",,digital
The Jungle Book,Rudyard Kipling,English,04/12/23,,,"Kipling's beloved collection of stories centers on Mowgli, a boy raised by wolves in the Indian jungle, creating an enduring fable about belonging, identity, and the laws of nature.","Kipling's beloved collection of stories centers on Mowgli, a boy raised by wolves in the Indian jungle, creating an enduring fable about belonging, identity, and the laws of nature.",,"Indian jungle, late 19th century","Mowgli,Bagheera",,digital
The Ladies' Paradise,Émile Zola,French,04/12/23,,,"Zola's vivid novel chronicles the rise of the modern department store in Second Empire Paris, following a young female shopgirl and the business visionary who transforms retail and women's lives.","Zola's vivid novel chronicles the rise of the modern department store in Second Empire Paris, following a young female shopgirl and the business visionary who transforms retail and women's lives.",,"Paris department store, 1860s-1870s","Denise Baudu,Octave Mouret",,digital
The Lady of the Camellias,Alexandre Dumas fils,French,04/12/23,,,Dumas fils' tragic romance follows the doomed love between a young man from a respectable family and a consumptive courtesan who makes the ultimate sacrifice for love.,Dumas fils' tragic romance follows the doomed love between a young man from a respectable family and a consumptive courtesan who makes the ultimate sacrifice for love.,,"Paris, 1840s","Marguerite Gautier,Armand Duval",,digital
The Land of Oz,L. Frank Baum,English,04/12/23,,,Baum's second Oz book introduces the boy Tip who creates the animated pumpkin-headed Jack and discovers a surprising true identity during adventures in the magical land.,Baum's second Oz book introduces the boy Tip who creates the animated pumpkin-headed Jack and discovers a surprising true identity during adventures in the magical land.,,Magical land of Oz,"Tip/Princess Ozma,Jack Pumpkinhead",,digital
The Last Cavalier,Alexandre Dumas,French,04/12/23,,,"Dumas' final novel, discovered and published more than a century after his death, follows a Napoleonic hero through battlefield glory and romantic intrigue with characteristic panache.","Dumas' final novel, discovered and published more than a century after his death, follows a Napoleonic hero through battlefield glory and romantic intrigue with characteristic panache.",,"France and Europe, Napoleonic era",Count Hector de Sainte-Hermine,,digital
The Last Day of a Condemned Man,Victor Hugo,French,04/12/23,,,"Hugo's powerful short novel gives voice to a man awaiting execution, creating a haunting psychological portrait and impassioned argument against capital punishment.","Hugo's powerful short novel gives voice to a man awaiting execution, creating a haunting psychological portrait and impassioned argument against capital punishment.",,"French prison, early 19th century",The Condemned Man,,digital
The Last of the Mohicans,James Fenimore Cooper,English,04/12/23,,,Cooper's frontier adventure set during the French and Indian War follows the noble Natty Bumppo and his Mohican friends as they protect two sisters through the dangerous American wilderness.,Cooper's frontier adventure set during the French and Indian War follows the noble Natty Bumppo and his Mohican friends as they protect two sisters through the dangerous American wilderness.,,"Upper New York State, 1757","Hawkeye,Uncas",,digital
The Life and Opinions of the Tomcat Murr,E.T.A. Hoffmann,German,04/12/23,,,"Hoffmann's experimental novel interweaves the autobiography of a literary cat with the story of a Romantic composer, creating a satirical masterpiece of Romantic irony.","Hoffmann's experimental novel interweaves the autobiography of a literary cat with the story of a Romantic composer, creating a satirical masterpiece of Romantic irony.",,"German principality, early 19th century","Tomcat Murr,Johannes Kreisler",,digital
The Life and Opinions of Tristram Shandy Gentleman,Laurence Sterne,English,04/12/23,,,Sterne's comic masterpiece revolutionized the novel through its digressive narrator who cannot even manage to tell the story of his own birth until several volumes into his supposed autobiography.,Sterne's comic masterpiece revolutionized the novel through its digressive narrator who cannot even manage to tell the story of his own birth until several volumes into his supposed autobiography.,,"England, mid-18th century","Tristram Shandy,Uncle Toby",,digital
The Lily of the Valley,Honoré de Balzac,French,04/12/23,,,"Balzac's semi-autobiographical novel charts the passionate but unconsummated love between a young man and an older married woman, exploring the conflict between desire and virtue.","Balzac's semi-autobiographical novel charts the passionate but unconsummated love between a young man and an older married woman, exploring the conflict between desire and virtue.",,"Loire Valley, France, Restoration period","Félix de Vandenesse,Henriette de Mortsauf",,digital
The Longest Journey,E.M. Forster,English,04/12/23,,,"Forster's most autobiographical novel follows the sensitive Rickie Elliott from Cambridge to a conventional career and marriage, exploring the difficulty of connecting personal truth with social expectation.","Forster's most autobiographical novel follows the sensitive Rickie Elliott from Cambridge to a conventional career and marriage, exploring the difficulty of connecting personal truth with social expectation.",,"Cambridge and rural England, early 20th century","Rickie Elliot,Stephen Wonham",,digital
The Lucky Chance,Aphra Behn,English,04/12/23,,,"Aphra Behn's controversial Restoration comedy features a young wife who outwits both her elderly husband and her former lover, challenging contemporary expectations of female virtue and submission.","Aphra Behn's controversial Restoration comedy features a young wife who outwits both her elderly husband and her former lover, challenging contemporary expectations of female virtue and submission.",,"London, Restoration era","Sir Feeble Fainwould,Lady Fulbank",,digital
The Magic Mountain,Thomas Mann,German,04/12/23,,,"Mann's philosophical masterpiece follows a young engineer's seven-year stay in a Swiss tuberculosis sanatorium before World War I, creating a microcosm for the intellectual crises of European civilization.","Mann's philosophical masterpiece follows a young engineer's seven-year stay in a Swiss tuberculosis sanatorium before World War I, creating a microcosm for the intellectual crises of European civilization.",,"Swiss tuberculosis sanatorium, pre-World War I","Hans Castorp,Clavdia Chauchat",,digital
The Magic Ring,Friedrich de la Motte Fouqué,German,04/12/23,,,"Fouqué's influential chivalric romance follows a knight's adventures with an enchanted ring, blending medieval legend with supernatural elements in a tale that helped establish German Romanticism.","Fouqué's influential chivalric romance follows a knight's adventures with an enchanted ring, blending medieval legend with supernatural elements in a tale that helped establish German Romanticism.",,Medieval Germany,"Otto von Trautwangen,Bertha",,digital
The Maid of Orleans,Friedrich Schiller,German,04/12/23,,,"Schiller's romantic tragedy portrays Joan of Arc as a complex heroine torn between divine calling and human love, creating a powerful exploration of faith, patriotism, and sacrifice.","Schiller's romantic tragedy portrays Joan of Arc as a complex heroine torn between divine calling and human love, creating a powerful exploration of faith, patriotism, and sacrifice.",,"France, 15th century","Joan of Arc,King Charles VII",,digital
The Maine Woods,Henry David Thoreau,English,04/12/23,,,"Thoreau's nature writing classic chronicles three excursions to the wilderness of Maine, reflecting on humanity's relationship with nature and the disappearing American frontier.","Thoreau's nature writing classic chronicles three excursions to the wilderness of Maine, reflecting on humanity's relationship with nature and the disappearing American frontier.",,"Maine wilderness, mid-19th century",Henry David Thoreau,,digital
The Man Who Laughs,Victor Hugo,French,04/12/23,,,"Hugo's historical novel follows a boy whose face has been mutilated into a permanent grin as he rises from carnival performer to English nobleman, creating a searing indictment of aristocratic cruelty.","Hugo's historical novel follows a boy whose face has been mutilated into a permanent grin as he rises from carnival performer to English nobleman, creating a searing indictment of aristocratic cruelty.",,"England, late 17th to early 18th century","Gwynplaine,Dea",,digital
The Man Who Would Be King,Rudyard Kipling,English,04/12/23,,,"Kipling's famous novella follows two British adventurers who establish themselves as kings in remote Afghanistan, creating a gripping parable about colonial hubris and its inevitable downfall.","Kipling's famous novella follows two British adventurers who establish themselves as kings in remote Afghanistan, creating a gripping parable about colonial hubris and its inevitable downfall.",,"India and Kafiristan (Afghanistan), late 19th century","Daniel Dravot,Peachey Carnehan",,digital
The Marquise of O,Heinrich von Kleist,German,04/12/23,,,"Kleist's provocative novella follows a widowed aristocrat who finds herself inexplicably pregnant after being rescued from assault by a Russian officer, exploring honor, desire, and social convention.","Kleist's provocative novella follows a widowed aristocrat who finds herself inexplicably pregnant after being rescued from assault by a Russian officer, exploring honor, desire, and social convention.",,"Northern Italy, Napoleonic era","The Marquise of O,Count F",,digital
The Master of Ballantrae,Robert Louis Stevenson,English,04/12/23,,,"Stevenson's dark adventure follows the deadly rivalry between two brothers—one seemingly honorable, one openly villainous—as they battle for their Scottish inheritance across decades and continents.","Stevenson's dark adventure follows the deadly rivalry between two brothers—one seemingly honorable, one openly villainous—as they battle for their Scottish inheritance across decades and continents.",,"Scotland, American colonies, and India, 18th century","James Durie,Henry Durie",,digital
The Mayor of Casterbridge,Thomas Hardy,English,04/12/23,,,"Hardy's powerful novel follows Michael Henchard's rise to prominence and subsequent self-destruction in rural Wessex, creating an unforgettable study of character as destiny.","Hardy's powerful novel follows Michael Henchard's rise to prominence and subsequent self-destruction in rural Wessex, creating an unforgettable study of character as destiny.",,"Rural England (Wessex), mid-19th century","Michael Henchard,Elizabeth-Jane Newson",,digital
The Memoirs of Sherlock Holmes,Arthur Conan Doyle,English,04/12/23,,,"Conan Doyle's second collection of Holmes stories includes some of the detective's most famous cases and introduces his arch-nemesis Professor Moriarty in ""The Final Problem.""","Conan Doyle's second collection of Holmes stories includes some of the detective's most famous cases and introduces his arch-nemesis Professor Moriarty in ""The Final Problem.""",,"London and English countryside, late Victorian era","Sherlock Holmes,Dr. John Watson",,digital
The Merchant of Venice,William Shakespeare,English,04/12/23,,,Shakespeare's complex comedy centers on a loan secured against a pound of flesh and features one of literature's most unforgettable characters in the Jewish moneylender Shylock.,Shakespeare's complex comedy centers on a loan secured against a pound of flesh and features one of literature's most unforgettable characters in the Jewish moneylender Shylock.,,"Venice and Belmont, 16th century","Shylock,Portia",,digital
The Merry Wives of Windsor,William Shakespeare,English,04/12/23,,,Shakespeare's boisterous comedy follows the misadventures of Sir John Falstaff as he attempts to seduce two married women who turn the tables and subject him to a series of humiliating practical jokes.,Shakespeare's boisterous comedy follows the misadventures of Sir John Falstaff as he attempts to seduce two married women who turn the tables and subject him to a series of humiliating practical jokes.,,"Windsor, Elizabethan era","Falstaff,Mistress Ford",,digital
The Metamorphosis,Franz Kafka,German,04/12/23,,,"Kafka's unsettling masterpiece begins with a traveling salesman waking to find himself transformed into a giant insect, creating a haunting exploration of alienation and dehumanization.","Kafka's unsettling masterpiece begins with a traveling salesman waking to find himself transformed into a giant insect, creating a haunting exploration of alienation and dehumanization.",,"Apartment in Prague, early 20th century",Gregor Samsa,,digital
The Mill on the Floss,George Eliot,English,04/12/23,,,"George Eliot's powerful novel follows the intelligent, passionate Maggie Tulliver from childhood to tragedy as she struggles against the limitations placed on women in Victorian society.","George Eliot's powerful novel follows the intelligent, passionate Maggie Tulliver from childhood to tragedy as she struggles against the limitations placed on women in Victorian society.",,"Rural England, 1820s-1830s","Maggie Tulliver,Tom Tulliver",,digital
The Mines of Falun,E.T.A. Hoffmann,German,04/12/23,,,"Hoffmann's haunting tale based on a true story follows a sailor drawn to mining by mysterious forces, culminating in a strange subterranean fate that blends romantic imagery with gothic horror.","Hoffmann's haunting tale based on a true story follows a sailor drawn to mining by mysterious forces, culminating in a strange subterranean fate that blends romantic imagery with gothic horror.",,"Sweden, early 19th century","Elis Fröbom,Ulla Dahlsjö",,digital
The Money Question,Alexandre Dumas fils,French,04/12/23,,,Zola's novel exposes the corrupting power of speculation and financial manipulation through the rise and fall of a banker during the Second Empire's economic boom.,Zola's novel exposes the corrupting power of speculation and financial manipulation through the rise and fall of a banker during the Second Empire's economic boom.,,"Paris, late 19th century","Mrs. Barker,Mrs. Chanteloupe",,digital
The Mysteries of Udolpho,Ann Radcliffe,English,04/12/23,,,"Radcliffe's quintessential Gothic novel follows the orphaned Emily through supernatural terrors in a remote Italian castle, establishing many of the genre's most influential elements.","Radcliffe's quintessential Gothic novel follows the orphaned Emily through supernatural terrors in a remote Italian castle, establishing many of the genre's most influential elements.",,"Italy and France, late 16th century","Emily St. Aubert,Montoni",,digital
The Mysterious Island,Jules Verne,French,04/12/23,,,"Jules Verne's adventure follows Civil War prisoners who escape by balloon and establish an ideal colony on an uncharted island, facing natural challenges and discovering a surprising connection to Captain Nemo.","Jules Verne's adventure follows Civil War prisoners who escape by balloon and establish an ideal colony on an uncharted island, facing natural challenges and discovering a surprising connection to Captain Nemo.",,"Uncharted Pacific island, 1865-1869","Cyrus Smith,Captain Nemo",,digital
The Narrow Road to the Deep North,Bashō,Japanese,04/12/23,,,"Bashō's poetic travel narrative combines haiku with prose descriptions of his journey through northern Japan, creating a meditative masterpiece of Japanese literature.","Bashō's poetic travel narrative combines haiku with prose descriptions of his journey through northern Japan, creating a meditative masterpiece of Japanese literature.",,"Northern Japan, 17th century",Matsuo Bashō,,digital
The Novices of Sais,Novalis,German,04/12/23,,,Novalis's philosophical novel combines fairy tales and aphorisms in a symbolic quest for knowledge as students search for the hidden meaning of nature under the tutelage of a mysterious teacher.,Novalis's philosophical novel combines fairy tales and aphorisms in a symbolic quest for knowledge as students search for the hidden meaning of nature under the tutelage of a mysterious teacher.,,Ancient Egypt,"Hyacinth,Rosenblüte",,digital
The Nun,Denis Diderot,French,04/12/23,,,"Diderot's controversial novel exposes convent life through the sufferings of a young woman forced to take vows against her will, creating a powerful Enlightenment critique of religious institutions.","Diderot's controversial novel exposes convent life through the sufferings of a young woman forced to take vows against her will, creating a powerful Enlightenment critique of religious institutions.",,"French convent, 18th century",Suzanne Simonin,,digital
The Nutcracker and the Mouse King,E.T.A. Hoffmann,German,04/12/23,,,Hoffmann's beloved Christmas tale—later adapted into the famous ballet—follows young Marie's adventures with a magical nutcracker who battles the Mouse King in a world of toys come alive.,Hoffmann's beloved Christmas tale—later adapted into the famous ballet—follows young Marie's adventures with a magical nutcracker who battles the Mouse King in a world of toys come alive.,,"German home and fantasy Kingdom of Sweets, 19th century","Marie Stahlbaum,The Nutcracker",,digital
The Oresteia,Aeschylus,Greek,04/12/23,,,"Aeschylus's trilogy traces the cursed House of Atreus through murder, vengeance, and divine intervention, establishing a foundational exploration of justice evolving from blood revenge to civic law.","Aeschylus's trilogy traces the cursed House of Atreus through murder, vengeance, and divine intervention, establishing a foundational exploration of justice evolving from blood revenge to civic law.",,"Mycenae and Athens, mythological era","Orestes,Clytemnestra",,digital
The Pastoral Symphony,André Gide,French,04/12/23,,,"Gide's subtle novella explores a pastor's self-deception when he rescues a blind girl and develops feelings that transcend spiritual guidance, exposing the dangers of moral blindness.","Gide's subtle novella explores a pastor's self-deception when he rescues a blind girl and develops feelings that transcend spiritual guidance, exposing the dangers of moral blindness.",,"Swiss Alps, early 20th century","Pastor,Gertrude",,digital
The Persians,Aeschylus,Greek,04/12/23,,,"Aeschylus's unique tragedy depicts the Persian court receiving news of their defeat at Salamis, offering Athenian audiences the unprecedented perspective of their recently vanquished enemies.","Aeschylus's unique tragedy depicts the Persian court receiving news of their defeat at Salamis, offering Athenian audiences the unprecedented perspective of their recently vanquished enemies.",,"Susa, Persian capital, 480 BCE","Xerxes,Atossa",,digital
The Philadelphia Negro,W.E.B. Du Bois,English,04/12/23,,,"Du Bois's groundbreaking sociological study examines the African American community of Philadelphia's Seventh Ward, establishing scientific methods to counter racist assumptions with empirical evidence.","Du Bois's groundbreaking sociological study examines the African American community of Philadelphia's Seventh Ward, establishing scientific methods to counter racist assumptions with empirical evidence.",,"Philadelphia, 1890s",Various Philadelphia residents,,digital
The Pickwick Papers,Charles Dickens,English,04/12/23,,,"Dickens' first novel follows the good-natured Mr. Pickwick and his friends through humorous misadventures across England, establishing the author's genius for creating memorable characters.","Dickens' first novel follows the good-natured Mr. Pickwick and his friends through humorous misadventures across England, establishing the author's genius for creating memorable characters.",,"England, 1827-1828","Samuel Pickwick,Sam Weller",,digital
The Picture of Dorian Gray,Oscar Wilde,English,04/12/23,,,"Wilde's only novel follows a beautiful young man whose portrait ages while he remains eternally youthful, creating a Gothic exploration of art, influence, and moral corruption.","Wilde's only novel follows a beautiful young man whose portrait ages while he remains eternally youthful, creating a Gothic exploration of art, influence, and moral corruption.",,"London, late 19th century","Dorian Gray,Lord Henry Wotton",,digital
The Pillow Book,Sei Shōnagon,Japanese,04/12/23,,,"Sei Shōnagon's intimate diary from 10th century Japan combines personal observations, court gossip, poetry, and lists, creating a vivid portrait of Heian aristocratic life.","Sei Shōnagon's intimate diary from 10th century Japan combines personal observations, court gossip, poetry, and lists, creating a vivid portrait of Heian aristocratic life.",,"Imperial Court of Japan, 10th century",Sei Shōnagon,,digital
The Portrait of a Lady,Henry James,English,04/12/23,,,"Henry James's masterpiece follows the independent-minded Isabel Archer as she navigates European society and makes a disastrous marriage, exploring the conflict between personal freedom and social expectation.","Henry James's masterpiece follows the independent-minded Isabel Archer as she navigates European society and makes a disastrous marriage, exploring the conflict between personal freedom and social expectation.",,"England, Italy, and America, 1870s","Isabel Archer,Gilbert Osmond",,digital
The Praise of Folly,Erasmus,Latin,04/12/23,,,"Erasmus's witty satire personifies Folly as she praises herself and critiques the foolishness of various social classes, creating a Renaissance masterpiece that skewers religious and intellectual pretension.","Erasmus's witty satire personifies Folly as she praises herself and critiques the foolishness of various social classes, creating a Renaissance masterpiece that skewers religious and intellectual pretension.",,Early 16th century Europe,Folly,,digital
The Prince and the Pauper,Mark Twain,English,04/12/23,,,"Twain's beloved historical novel follows the adventures of two identical boys—a pauper and the heir to England's throne—who exchange places, exploring social inequality with humor and humanity.","Twain's beloved historical novel follows the adventures of two identical boys—a pauper and the heir to England's throne—who exchange places, exploring social inequality with humor and humanity.",,"Tudor England, mid-16th century","Tom Canty,Prince Edward",,digital
The Prince of Abyssinia (Rasselas),Samuel Johnson,English,04/12/23,,,"Johnson's philosophical tale follows an Ethiopian prince who escapes his sheltered paradise to search for true happiness in the wider world, offering timeless wisdom on human aspiration.","Johnson's philosophical tale follows an Ethiopian prince who escapes his sheltered paradise to search for true happiness in the wider world, offering timeless wisdom on human aspiration.",,"Abyssinia (Ethiopia) and Middle East, 18th century","Rasselas,Princess Nekayah",,digital
The Rainbow,D.H. Lawrence,English,04/12/23,,,"Lawrence's sweeping saga traces three generations of the Brangwen family, exploring changing relations between men and women as England transitions from rural agricultural life to modernity.","Lawrence's sweeping saga traces three generations of the Brangwen family, exploring changing relations between men and women as England transitions from rural agricultural life to modernity.",,"English Midlands, 1840s-1905","Ursula Brangwen,Anton Skrebensky",,digital
The Red and the Black,Stendhal,French,04/12/23,,,"Stendhal's psychological masterpiece follows ambitious Julien Sorel's rise from peasant origins through French Restoration society, torn between revolutionary values and monarchist power.","Stendhal's psychological masterpiece follows ambitious Julien Sorel's rise from peasant origins through French Restoration society, torn between revolutionary values and monarchist power.",,"Provincial France and Paris, Restoration period (1830)","Julien Sorel,Madame de Rênal",,digital
The Reef,Edith Wharton,English,04/12/23,,,Wharton's penetrating novel explores the ripple effects of a brief affair when former lovers find themselves reunited in a complex social quartet at a French chateau.,Wharton's penetrating novel explores the ripple effects of a brief affair when former lovers find themselves reunited in a complex social quartet at a French chateau.,,"Paris and French countryside, early 20th century","Anna Leath,George Darrow",,digital
The Return of Sherlock Holmes,Arthur Conan Doyle,English,04/12/23,,,"Conan Doyle resurrects his beloved detective following public outcry over his apparent death, presenting thirteen new cases that demonstrate Holmes's undiminished powers of deduction.","Conan Doyle resurrects his beloved detective following public outcry over his apparent death, presenting thirteen new cases that demonstrate Holmes's undiminished powers of deduction.",,"London and various locations, early 1900s","Sherlock Holmes,Dr. John Watson",,digital
The Return of Tarzan,Edgar Rice Burroughs,English,04/12/23,,,The ape-man faces new adventures in civilization and the African wilderness as he discovers the lost city of Opar while enemies plot his destruction in this thrilling sequel.,The ape-man faces new adventures in civilization and the African wilderness as he discovers the lost city of Opar while enemies plot his destruction in this thrilling sequel.,,"African jungle and Paris, early 20th century","Tarzan,Jane Porter",,digital
The Return of the Native,Thomas Hardy,English,04/12/23,,,"Hardy's atmospheric tragedy set on the brooding Egdon Heath follows the beautiful Eustacia Vye's destructive desire to escape rural life, creating a powerful study of character versus environment.","Hardy's atmospheric tragedy set on the brooding Egdon Heath follows the beautiful Eustacia Vye's destructive desire to escape rural life, creating a powerful study of character versus environment.",,"Egdon Heath, England, 1840s","Clym Yeobright,Eustacia Vye",,digital
The Revenger's Tragedy,Thomas Middleton,English,04/12/23,,,"Middleton's macabre Jacobean play follows Vindice's elaborate revenge against the duke who poisoned his beloved, creating a darkly satirical exploration of corruption in a decadent court.","Middleton's macabre Jacobean play follows Vindice's elaborate revenge against the duke who poisoned his beloved, creating a darkly satirical exploration of corruption in a decadent court.",,"Italian court, Renaissance era","Vindice,The Duke",,digital
The Rivals,Richard Brinsley Sheridan,English,04/12/23,,,"Sheridan's brilliant comedy of manners introduces the unforgettable Mrs. Malaprop, whose verbal blunders have enriched the English language as she meddles in her niece's romantic affairs.","Sheridan's brilliant comedy of manners introduces the unforgettable Mrs. Malaprop, whose verbal blunders have enriched the English language as she meddles in her niece's romantic affairs.",,"Bath, England, 18th century","Captain Jack Absolute,Lydia Languish",,digital
The Road to Oz,L. Frank Baum,English,04/12/23,,,"Baum's fifth Oz book follows Dorothy on a new journey to the Emerald City for Princess Ozma's birthday celebration, introducing delightful new characters from magical lands.","Baum's fifth Oz book follows Dorothy on a new journey to the Emerald City for Princess Ozma's birthday celebration, introducing delightful new characters from magical lands.",,Oz and surrounding magical lands,"Dorothy Gale,Shaggy Man",,digital
The Robbers,Friedrich Schiller,German,04/12/23,,,"Schiller's revolutionary drama follows two aristocratic brothers—one disinherited but noble-hearted, one privileged but villainous—creating a Sturm und Drang masterpiece about freedom and justice.","Schiller's revolutionary drama follows two aristocratic brothers—one disinherited but noble-hearted, one privileged but villainous—creating a Sturm und Drang masterpiece about freedom and justice.",,"Germany, 18th century","Karl Moor,Franz Moor",,digital
The Romance of the Forest,Ann Radcliffe,English,04/12/23,,,Radcliffe's Gothic adventure follows an orphaned heroine taking refuge in a ruined abbey where mysterious manuscripts and midnight terrors reveal a long-buried crime.,Radcliffe's Gothic adventure follows an orphaned heroine taking refuge in a ruined abbey where mysterious manuscripts and midnight terrors reveal a long-buried crime.,,"France, late 18th century","Adeline,Theodore",,digital
The Rover,Aphra Behn,English,04/12/23,,,"Aphra Behn's Restoration comedy follows the romantic adventures of exiled cavaliers and spirited heroines in Naples during Carnival, combining political commentary with sexual intrigue.","Aphra Behn's Restoration comedy follows the romantic adventures of exiled cavaliers and spirited heroines in Naples during Carnival, combining political commentary with sexual intrigue.",,"Naples during Carnival, Restoration era","Willmore,Hellena",,digital
The Sandman,E.T.A. Hoffmann,German,04/12/23,,,"Hoffmann's disturbing tale of a student destroyed by his obsession with a mechanical woman explores the uncanny and blurs reality with nightmare, influencing both Gothic and psychological literature.","Hoffmann's disturbing tale of a student destroyed by his obsession with a mechanical woman explores the uncanny and blurs reality with nightmare, influencing both Gothic and psychological literature.",,"German town, early 19th century","Nathanael,Olimpia",,digital
